x,y,z,vx,vy,vz,t
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
1.9222,-0.0340357,3.49472,0.375782,0.0324786,0.926139,2
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
72.77,10.3278,71.8294,0.537824,0.144674,0.830551,56
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
51.0675,85.6893,35.4683,-0.0856746,0.961615,0.260686,57.8
43.1925,13.8309,34.8915,0.346494,-0.328743,0.878561,32
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
-5.22558,-39.5359,34.6314,-0.524877,-0.702083,0.481232,28.6
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.0675,85.6893,35.4683,-0.0856746,0.961615,0.260686,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
51.8677,85.6484,35.102,0.333666,0.940182,0.0687375,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.0675,85.6893,35.4683,-0.0856746,0.961615,0.260686,57.8
51.0675,85.6893,35.4683,-0.0856746,0.961615,0.260686,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.0675,85.6893,35.4683,-0.0856746,0.961615,0.260686,57.8
51.0675,85.6893,35.4683,-0.0856746,0.961615,0.260686,57.8
74.6159,9.51462,72.2231,0.845417,-0.149839,0.512659,56.8
51.0675,85.6893,35.4683,-0.0856746,0.961615,0.260686,57.8
